Country,Year,Avg Female BMI,Avg Male BMI,Kilocalories Per Day
Albania,1996,24.96643,25.31097,2979.3
Albania,1994,24.93562,25.22115,2938.79
Albania,2005,25.46525,26.08939,2917.08
Albania,2006,25.53328,26.20867,2914.95
Albania,1999,25.06254,25.46555,2891.76
Albania,2007,25.59394,26.32753,2879.57
Albania,2002,25.27082,25.77167,2864.93
Albania,2001,25.20332,25.66701,2861.18
Albania,1993,24.93558,25.21192,2855.45
Albania,2004,25.39804,25.98136,2849.36
Albania,1983,25.21906,25.27176,2840.86
Albania,2003,25.33198,25.87274,2838.24
Albania,2000,25.12797,25.55835,2832.07
Albania,1995,24.93706,25.25874,2825.83
Albania,1998,25.0022,25.39116,2790.7
Albania,1984,25.22359,25.27901,2758.98
Albania,1981,25.19088,25.23981,2747.51
Albania,1997,24.96754,25.33988,2746.72
Albania,1986,25.20939,25.29451,2738.9
Albania,1982,25.20032,25.25636,2691.75
Albania,1980,25.17427,25.22533,2659.95
Albania,1990,25.13877,25.32357,2656.37
Albania,1992,24.96615,25.23077,2650.29
Albania,1988,25.16965,25.3045,2647.18
Albania,1989,25.1537,25.31944,2629.8
Albania,1985,25.21257,25.28669,2607.83
Albania,1987,25.18918,25.30217,2552.18
Albania,1991,25.0467,25.28452,2388.87
Algeria,2007,26.26096,24.48846,3153.38
Algeria,2006,26.15054,24.3827,3101.2
Algeria,2004,25.93081,24.15957,3090.13
Algeria,2003,25.81168,24.05243,3073.26
Algeria,2005,26.03886,24.27001,3059.24
Algeria,2002,25.69948,23.95294,3034.33
Algeria,2001,25.59477,23.86256,3003.63
Algeria,1992,24.8421,23.18776,2972.77
Algeria,1993,24.92523,23.25764,2971.61
Algeria,1999,25.40139,23.69486,2957.91
Algeria,2000,25.49389,23.77659,2928.84
Algeria,1998,25.3097,23.61592,2904.07
Algeria,1996,25.15,23.46811,2893.72
Algeria,1995,25.07258,23.39526,2891.3
Algeria,1994,24.9955,23.32273,2865.2
Algeria,1989,24.59436,22.97931,2862.84
Algeria,1990,24.67546,23.046,2856.21
Algeria,1997,25.22635,23.5416,2844.07
Algeria,1991,24.75504,23.11333,2835.47
Algeria,1988,24.50904,22.90644,2795
Algeria,1987,24.42523,22.84096,2724.66
Algeria,1986,24.33652,22.76979,2717.66
Algeria,1985,24.24213,22.69501,2700.86
Algeria,1981,23.80702,22.34745,2685.14
Algeria,1980,23.67764,22.25703,2657.34
Algeria,1982,23.92626,22.43647,2656.45
Algeria,1983,24.03604,22.52105,2637.55
Algeria,1984,24.1363,22.60633,2584.16
Angola,2007,23.2633,22.08962,1973.29
Angola,2006,23.04406,21.93881,1958.96
Angola,2005,22.83412,21.80564,1915.7
Angola,1980,20.06763,20.94876,1915.4
Angola,2004,22.63536,21.69218,1893.7
Angola,2003,22.44571,21.59924,1857.8
Angola,1981,20.12766,20.94371,1835.78
Angola,2002,22.26093,21.51765,1833.9
Angola,2001,22.07646,21.43664,1784.16
Angola,2000,21.91293,21.3748,1763.08
Angola,1999,21.76054,21.31954,1757.79
Angola,1982,20.19464,20.93754,1711.24
Angola,1998,21.60939,21.27082,1700.9
Angola,1983,20.26439,20.93187,1682.21
Angola,1997,21.47863,21.22621,1676.52
Angola,1996,21.36478,21.19076,1674.3
Angola,1985,20.42624,20.94857,1640.78
Angola,1995,21.25985,21.16022,1634.08
Angola,1984,20.3411,20.93569,1627.99
Angola,1986,20.51389,20.9603,1598.53
Angola,1990,20.914,21.09007,1589.55
Angola,1994,21.18443,21.14186,1589.52
Angola,1987,20.60929,20.98025,1586.87
Angola,1992,21.08987,21.14987,1576.1
Angola,1991,21.00432,21.12136,1561.63
Angola,1988,20.70945,21.01375,1559.92
Angola,1989,20.80873,21.05269,1540.59
Angola,1993,21.13495,21.13938,1511.01
Antigua and Barbuda,1991,25.81131,24.36568,2557.14
Antigua and Barbuda,1992,25.95531,24.45644,2510.77
Antigua and Barbuda,1989,25.52673,24.16347,2489.2
Antigua and Barbuda,1990,25.67301,24.26782,2474.33
Antigua and Barbuda,2007,27.37364,25.64247,2368.5
Antigua and Barbuda,1988,25.35149,24.05364,2364.34
Antigua and Barbuda,1993,26.0634,24.54096,2323.21
Antigua and Barbuda,2005,27.09834,25.39965,2294.69
Antigua and Barbuda,2006,27.23278,25.51382,2293.67
Antigua and Barbuda,1994,26.15508,24.60945,2234.21
Antigua and Barbuda,1999,26.528,24.91721,2200.01
Antigua and Barbuda,1987,25.18394,23.93649,2196.5
Antigua and Barbuda,1995,26.22408,24.66461,2184.22
Antigua and Barbuda,1998,26.4472,24.84936,2182.8
Antigua and Barbuda,1984,24.70423,23.63584,2182.71
Antigua and Barbuda,1986,25.02937,23.83449,2180.11
Antigua and Barbuda,1997,26.3716,24.78714,2179.33
Antigua and Barbuda,2000,26.61231,24.99158,2178.78
Antigua and Barbuda,1996,26.2935,24.72544,2170.37
Antigua and Barbuda,2004,26.96384,25.29898,2161.48
Antigua and Barbuda,1985,24.86193,23.73109,2126.31
Antigua and Barbuda,2001,26.68539,25.05857,2077.87
Antigua and Barbuda,2003,26.84799,25.20713,2077.55
Antigua and Barbuda,2002,26.76278,25.13039,2073.33
Antigua and Barbuda,1981,24.34043,23.39054,2015.74
Antigua and Barbuda,1983,24.55735,23.53735,1964.98
Antigua and Barbuda,1980,24.22235,23.31424,1916.45
Antigua and Barbuda,1982,24.43933,23.45883,1896.1
Argentina,2000,26.47851,26.88103,3271.7
Argentina,1999,26.3257,26.79005,3266.75
Argentina,1980,23.84436,25.37913,3221.99
Argentina,1981,23.96239,25.44951,3201.05
Argentina,2001,26.61081,26.96067,3183.34
Argentina,1995,25.67636,26.37522,3168.17
